0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,36,41,38,39,37,39,38,36,36,41,41,36,38,41,41,0,0,0
0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
0,0,37,0,0,37,40,39,38,38,38,39,36,41,0,0,37,0,0,0
0,0,36,0,0,41,0,0,0,0,0,0,0,39,0,0,37,0,0,0
0,0,36,0,0,40,0,37,36,37,40,40,0,39,0,0,41,0,0,0
0,0,0,0,0,41,0,39,0,0,0,39,0,41,0,0,36,0,0,0
0,0,0,0,0,38,0,41,0,99,0,38,0,0,0,0,40,0,0,0
0,0,0,0,0,41,0,0,0,0,0,39,0,0,0,0,37,0,0,0
0,0,40,0,0,36,0,38,0,0,0,41,0,41,0,0,40,0,0,0
0,0,36,0,0,37,0,37,40,36,37,40,0,40,0,0,38,0,0,0
0,0,39,0,0,40,0,0,0,0,0,0,0,41,0,0,41,0,0,0
0,0,40,0,0,38,37,39,38,36,36,37,40,36,0,0,38,0,0,0
0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
0,0,36,38,40,41,37,37,38,36,39,39,38,37,39,39,41,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
